ID,Waktu,User,Jenis,Kategori,Barang,Jumlah,Satuan
1776097314,13/04/2026 23:21,Staff Shift 1,MASUK,BAR,SUSU UHT,50,box
1776097335,13/04/2026 23:22,Staff Shift 1,MASUK,BAR,TUNA KALENG,50,pcs
